order_id,customer_id,purchase_date,num_items,total_amount
ORD-00044,CUST-0106,2026-05-01,4,183.25
ORD-00433,CUST-0192,2026-05-03,12,330.77
ORD-00253,CUST-0169,2026-02-24,2,454.38
ORD-00729,CUST-0124,2026-03-04,3,491.8
ORD-00585,CUST-0166,2026-03-20,6,272.78
ORD-00049,CUST-0139,2026-03-18,18,1804.64
ORD-00597,CUST-0031,2026-04-10,12,52.53
ORD-00223,CUST-0166,2026-02-15,5,451.76
ORD-00074,CUST-0177,2026-03-20,18,651.41
ORD-00319,CUST-0198,2026-05-04,10,59.46
ORD-00191,CUST-0121,2026-02-12,9,245.94
ORD-00419,CUST-0123,2026-02-28,19,35.11
ORD-00004,CUST-0167,2026-03-10,20,898.48
ORD-00719,CUST-0085,2026-04-15,19,1492.87
ORD-00759,CUST-0069,2026-04-01,8,1450.96
ORD-00016,CUST-0197,2026-02-14,18,168.57
ORD-00266,CUST-0193,2026-02-17,4,437.19
ORD-00416,CUST-0095,2026-02-12,19,408.9
ORD-00070,CUST-0130,2026-03-31,7,427.07
ORD-00051,CUST-0016,2026-03-22,16,432.81
ORD-00613,CUST-0088,2026-03-01,5,247.33
ORD-00099,CUST-0159,2026-04-22,3,334.62
ORD-00233,CUST-0144,2026-04-30,8,312.96
ORD-00257,CUST-0141,2026-05-05,5,319.57
ORD-00292,CUST-0057,2026-05-03,13,374.7
ORD-00448,CUST-0184,2026-04-01,6,327.01
ORD-00501,CUST-0106,2026-03-14,11,191.27
ORD-00088,CUST-0099,2026-04-03,14,260.09
ORD-00224,CUST-0094,2026-05-08,10,26.32
ORD-00397,CUST-0116,2026-04-30,11,69.91
ORD-00499,CUST-0079,2026-04-07,13,327.22
ORD-00006,CUST-0040,2026-05-13,6,176.38
ORD-00757,CUST-0037,2026-02-25,16,1051.55
ORD-00608,CUST-0095,2026-05-02,13,146.05
ORD-00310,CUST-0017,2026-02-26,2,326.53
ORD-00139,CUST-0124,2026-04-09,20,273.17
ORD-00637,CUST-0108,2026-04-03,5,420.26
ORD-00771,CUST-0151,2026-02-26,15,435.67
ORD-00559,CUST-0093,2026-02-14,14,396.66
ORD-00699,CUST-0072,2026-02-26,8,2121.57
ORD-00480,CUST-0063,2026-03-17,20,436.51
ORD-00763,CUST-0114,2026-04-09,14,53.66
ORD-00331,CUST-0057,2026-03-17,17,1375.51
ORD-00045,CUST-0026,2026-03-15,2,491.26
ORD-00635,CUST-0153,2026-03-11,13,1499.67
ORD-00441,CUST-0147,2026-02-20,2,53.75
ORD-00409,CUST-0096,2026-02-24,4,694.27
ORD-00301,CUST-0015,2026-03-10,3,230.99
ORD-00716,CUST-0046,2026-03-26,10,154.02
ORD-00201,CUST-0113,2026-02-27,11,437.48
ORD-00146,CUST-0122,2026-03-22,16,127.52
ORD-00453,CUST-0085,2026-04-10,13,378.59
ORD-00426,CUST-0185,2026-03-06,11,340.5
ORD-00488,CUST-0138,2026-03-22,5,99.92
ORD-00535,CUST-0163,2026-05-04,3,195.82
ORD-00698,CUST-0082,2026-03-10,11,97.93
ORD-00087,CUST-0089,2026-02-28,9,1693.55
ORD-00680,CUST-0084,2026-04-05,20,2172.01
ORD-00090,CUST-0189,2026-03-08,18,469.79
ORD-00434,CUST-0144,2026-03-13,7,273.36
ORD-00226,CUST-0094,2026-04-21,7,1579.28
ORD-00218,CUST-0102,2026-02-13,10,2160.25
ORD-00735,CUST-0161,2026-05-13,14,2147.97
ORD-00291,CUST-0135,2026-03-19,4,297.96
ORD-00034,CUST-0141,2026-03-06,5,1451.09
ORD-00795,CUST-0149,2026-04-28,16,1769.16
ORD-00606,CUST-0069,2026-02-16,13,292.36
ORD-00491,CUST-0053,2026-03-03,17,986.47
ORD-00182,CUST-0083,2026-03-04,2,163.8
ORD-00696,CUST-0183,2026-04-12,18,493.82
ORD-00618,CUST-0167,2026-05-02,12,191.83
ORD-00126,CUST-0090,2026-05-03,16,1579.3
ORD-00551,CUST-0084,2026-04-06,16,392.39
ORD-00513,CUST-0106,2026-02-18,16,1564.89
ORD-00424,CUST-0170,2026-05-06,5,284.27
ORD-00168,CUST-0176,2026-02-12,10,232.02
ORD-00399,CUST-0041,2026-02-24,14,433.14
ORD-00415,CUST-0126,2026-02-27,11,259.25
ORD-00497,CUST-0181,2026-04-28,16,350.16
ORD-00018,CUST-0184,2026-04-09,3,471.08
ORD-00394,CUST-0088,2026-04-23,15,237.11
ORD-00036,CUST-0172,2026-03-05,7,205.11
ORD-00779,CUST-0134,2026-03-16,9,157.75
ORD-00702,CUST-0100,2026-05-06,8,490.52
ORD-00722,CUST-0185,2026-02-14,3,394.85
ORD-00276,CUST-0146,2026-04-23,12,168.62
ORD-00335,CUST-0074,2026-02-19,11,77.29
ORD-00586,CUST-0048,2026-04-21,18,151.24
ORD-00144,CUST-0071,2026-03-31,9,352.88
ORD-00160,CUST-0078,2026-05-07,5,1626.12
ORD-00195,CUST-0039,2026-04-05,19,332.71
ORD-00130,CUST-0156,2026-03-15,9,92.05
ORD-00743,CUST-0100,2026-03-22,19,39.82
ORD-00744,CUST-0122,2026-03-08,14,345.98
ORD-00732,CUST-0068,2026-03-22,18,366.96
ORD-00523,CUST-0178,2026-03-07,2,450.72
ORD-00260,CUST-0116,2026-02-19,18,115.15
ORD-00216,CUST-0124,2026-03-16,10,198.11
ORD-00766,CUST-0146,2026-03-10,13,2202.74
ORD-00574,CUST-0102,2026-02-22,6,331.42
ORD-00403,CUST-0127,2026-04-16,19,34.71
ORD-00058,CUST-0146,2026-05-05,8,470.44
ORD-00741,CUST-0039,2026-04-10,8,285.92
ORD-00601,CUST-0181,2026-04-08,20,168.27
ORD-00575,CUST-0110,2026-05-10,20,229.84
ORD-00221,CUST-0049,2026-04-14,20,117.09
ORD-00748,CUST-0033,2026-04-21,6,405.34
ORD-00607,CUST-0197,2026-02-22,14,46.93
ORD-00120,CUST-0186,2026-03-25,11,400.29
ORD-00407,CUST-0130,2026-04-19,12,45.96
ORD-00084,CUST-0072,2026-04-01,9,482.81
ORD-00123,CUST-0013,2026-02-20,14,1423.94
ORD-00183,CUST-0001,2026-04-29,13,413.39
ORD-00668,CUST-0108,2026-04-04,4,490.74
ORD-00245,CUST-0054,2026-03-02,7,2030.55
ORD-00063,CUST-0026,2026-05-12,15,285.3
ORD-00628,CUST-0026,2026-02-24,15,52.39
ORD-00651,CUST-0135,2026-04-28,1,219.94
ORD-00026,CUST-0138,2026-03-04,1,66.02
ORD-00289,CUST-0044,2026-04-06,4,482.47
ORD-00033,CUST-0195,2026-05-03,3,409.04
ORD-00009,CUST-0142,2026-03-06,4,195.1
ORD-00086,CUST-0046,2026-04-01,1,2440.83
ORD-00296,CUST-0020,2026-04-21,20,381.23
ORD-00697,CUST-0145,2026-03-29,16,247.01
ORD-00612,CUST-0141,2026-03-11,9,148.68
ORD-00552,CUST-0030,2026-03-26,9,202.15
ORD-00681,CUST-0102,2026-04-25,3,483.55
ORD-00208,CUST-0008,2026-05-01,4,349.37
ORD-00514,CUST-0074,2026-05-12,1,144.35
