customer_id,total_spend,num_orders,avg_order_value,total_items_bought,first_order_date,last_order_date
CUST-0117,4224.59,3,1408.2,34,2026-04-22,2026-05-06
CUST-0094,3636.53,2,1818.26,12,2026-04-21,2026-05-09
CUST-0037,3156.93,2,1578.46,11,2026-04-13,2026-05-06
CUST-0039,3111.07,3,1037.02,25,2026-04-18,2026-05-13
CUST-0101,2485.7,1,2485.7,12,2026-04-26,2026-04-26
CUST-0029,2396.46,1,2396.46,8,2026-04-25,2026-04-25
CUST-0013,2384.62,1,2384.62,11,2026-05-02,2026-05-02
CUST-0058,2310.46,1,2310.46,8,2026-04-13,2026-04-13
CUST-0038,2216.95,1,2216.95,20,2026-04-25,2026-04-25
CUST-0172,2193.55,1,2193.55,17,2026-05-06,2026-05-06
CUST-0024,2163.71,1,2163.71,16,2026-04-24,2026-04-24
CUST-0161,2147.97,1,2147.97,14,2026-05-13,2026-05-13
CUST-0020,2140.11,1,2140.11,17,2026-05-01,2026-05-01
CUST-0061,2080.18,1,2080.18,5,2026-05-10,2026-05-10
CUST-0057,2062.14,1,2062.14,1,2026-04-28,2026-04-28
CUST-0085,2056.66,2,1028.33,27,2026-04-15,2026-05-06
CUST-0156,2029.12,1,2029.12,8,2026-05-03,2026-05-03
CUST-0052,1866.57,1,1866.57,14,2026-05-08,2026-05-08
CUST-0189,1814.95,1,1814.95,11,2026-05-12,2026-05-12
CUST-0149,1769.16,1,1769.16,16,2026-04-28,2026-04-28
CUST-0113,1715.54,1,1715.54,1,2026-04-23,2026-04-23
CUST-0133,1687.77,1,1687.77,16,2026-04-16,2026-04-16
CUST-0078,1626.12,1,1626.12,5,2026-05-07,2026-05-07
CUST-0090,1579.3,1,1579.3,16,2026-05-03,2026-05-03
CUST-0096,1511.96,1,1511.96,5,2026-05-05,2026-05-05
CUST-0180,1347.97,1,1347.97,19,2026-04-16,2026-04-16
CUST-0092,1260.47,1,1260.47,11,2026-04-16,2026-04-16
CUST-0142,1239.06,1,1239.06,18,2026-04-24,2026-04-24
CUST-0081,1234.53,1,1234.53,19,2026-05-04,2026-05-04
CUST-0011,1117.21,1,1117.21,14,2026-04-25,2026-04-25
CUST-0164,977.64,1,977.64,10,2026-04-13,2026-04-13
CUST-0074,950.46,1,950.46,10,2026-04-15,2026-04-15
CUST-0192,944.78,1,944.78,1,2026-04-30,2026-04-30
CUST-0153,872.46,1,872.46,17,2026-05-06,2026-05-06
CUST-0003,775.29,1,775.29,4,2026-04-21,2026-04-21
CUST-0116,506.35,1,506.35,18,2026-04-21,2026-04-21
